"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2","n"
1295,1295,"b3a39a5a-19fd-434b-8a40-fdd09ece78b7","hesuca24","other","Calico",2019-06-19 15:04:00,"other","capture",NA,"UTM: 0642174, 4002760","6/21/19 15:47","NDOWherps","6/21/19 15:47","NDOWherps",642174,4002760,NA,NA,"",18
1293,1293,"f52c3a40-55fb-4511-9a04-9f9c677c2855","hesuca24","other","Calico",2019-06-21 13:51:00,"other","capture",190,"UTM: 0642229, 4002878","6/21/19 15:47","NDOWherps","6/21/19 15:47","NDOWherps",642229,4002878,NA,NA,"",18
1301,1301,"803781a0-1a61-4d18-aeb5-b4f1f78d049b","hesuca24","other","Calico",2019-06-22 15:35:00,"jvanas","radio",116,"Utm 
0642262
4002918
Moved up slope ","6/22/19 23:26","NDOWherps","6/22/19 23:26","NDOWherps",642262,4002918,NA,NA,"",18
1321,1321,"1bafe22b-cc4c-48fc-b04d-9bb4e865f439","hesuca24","other","Calico",2019-06-24 13:35:00,"other","radio",359,"UTM: 0642272, 4002910","6/26/19 20:08","NDOWherps","6/26/19 20:08","NDOWherps",642272,4002910,NA,NA,"",18
1316,1316,"0a401929-37db-43b7-b34f-4bf3edd4937e","hesuca24","other","Calico",2019-06-25 18:31:00,"other","radio",41,"In same shelter as C13, may have had visual of the head of either

UTM: 0642262, 4002920","6/26/19 20:08","NDOWherps","6/26/19 20:08","NDOWherps",642262,4002920,NA,NA,"",18
1331,1331,"23155939-dc65-4a66-b184-3f52e1ce7d58","hesuca24","other","Calico",2019-06-26 15:45:00,"jvanas","radio",181,"Utm 
0641975
4002991
","6/28/19 19:45","NDOWherps","6/28/19 19:45","NDOWherps",641975,4002991,NA,NA,"",18
1342,1342,"ec00a120-8782-4757-bf20-30090969d64a","hesuca24","other","Calico",2019-07-05 15:42:00,"jvanas","radio",199,"Utm 
0641953
4002961","7/5/19 18:54","NDOWherps","7/5/19 18:54","NDOWherps",641953,4002961,NA,NA,"",18
1356,1356,"bafaa049-20f7-4c0b-aba3-1a4ecaa60777","hesuca24","other","Calico",2019-07-09 14:53:00,"jvanas","radio",200,"Utm 
0641962
4002921
","7/9/19 22:38","NDOWherps","7/9/19 22:38","NDOWherps",641962,4002921,NA,NA,"",18
1403,NA,"aa061931-c2d7-4bd1-9ceb-a408dae27492","hesuca24","other","Calico",2019-08-30 15:19:00,"jjones","radio",NA,"Above first rock cliff tier. UTMs 0642050, 4003060 +/-11","9/7/19 22:21","jljones76","9/7/19 22:21","jljones76",642050,4003060,NA,NA,"",18
1414,NA,"bc2e59bf-a956-4aea-b30c-23219a8c02fc","hesuca24","other","Calico",2019-09-01 01:03:00,"scohen","radio",114,"642054
4003063
Elev. 4,135ft","9/13/19 12:42","NDOWherps","9/13/19 12:42","NDOWherps",642054,4003063,NA,NA,"",18
1409,NA,"03dd2c66-a3ef-4ea2-a5d5-208d548c8d51","hesuca24","other","Calico",2019-09-11 15:20:00,"other","radio",160,"UTM: 0642040, 4003062 (7m accuracy, more accurate than map)","9/11/19 15:29","NDOWherps","9/11/19 15:29","NDOWherps",642040,4003062,NA,NA,"",18
1422,NA,"9aed20dd-4115-4e1c-9527-a983cae0dd57","hesuca24","other","Calico",2019-09-18 15:53:00,"other","radio",160,"Same shelter as before. 
UTM: 0642040, 4003062 (7m accuracy, better than lat longs)","9/18/19 16:06","NDOWherps","9/18/19 16:06","NDOWherps",642054,4003063,NA,NA,"",18
1438,NA,"2c87c23c-8cc7-4126-ae8b-e2917ec253ff","hesuca24","other","Calico",2019-09-25 13:55:00,"other","radio",126,"Use UTM from previous recordings, same shelter as last time. Lat longs less accurate (12.9m)","9/25/19 14:02","NDOWherps","9/25/19 14:02","NDOWherps",642054,4003063,NA,NA,"",18
1455,NA,"e542aeb4-2e88-4017-a4c9-d21719ee65dd","hesuca24","other","Calico",2019-10-03 20:41:00,"other","radio",151,"Same shelter as last time.","10/3/19 20:49","NDOWherps","10/3/19 20:49","NDOWherps",642054,4003063,NA,NA,"",18
