"ObjectID","ObjectOld","GlobalID","LIZARDNUMBER","HESU.old","Site","DATE","Observer","DetectionType","ShelterAspect","Notes","CreationDate","Creator","EditDate","Editor","EASTING","NORTHING","x","y","Notes2"
79,79,"24cbc9ee-913b-43e5-b074-46782ff84437","hesuca7","hesu7","Calico",2017-05-09 01:18:00,"jvanas","visual",315,"UTM 
0640986
4002936

Visual in shelter ","5/9/17 4:30","NDOWherps","5/9/17 4:30","NDOWherps",640986,4002936,-115.43237,36.16101,""
115,115,"40ff8ae3-671e-4749-b089-708b936fd8f6","hesuca7","hesu7","Calico",2017-05-22 17:16:00,"jvanas","visual",NA,"UTM 
0641017
4002788
Out walking fast ","5/22/17 21:29","NDOWherps","5/22/17 21:29","NDOWherps",641017,4002788,-115.43233,36.15953,""
120,120,"214d9d34-2a50-4ed2-aac2-07b37a4fdae5","hesuca7","hesu7","Calico",2017-05-23 15:30:00,"jvanas","visual",NA,"UTM 
0640918
4002966
Surface active
","5/23/17 18:48","NDOWherps","5/23/17 18:48","NDOWherps",640918,4002966,-115.43321,36.16124,""
485,485,"c4803aa4-e9df-45d3-8b98-f0664b6cb329","hesuca7","hesucal7","Calico",2018-04-24 14:45:00,"jvanas","radio",207,"Utm
0640971
4002938
 6 m
Near C3","4/24/18 21:13","NDOWherps","4/24/18 21:13","NDOWherps",640971,4002938,-115.43258,36.16089,""
499,499,"29aa5945-75f1-4978-b247-593c8204a30e","hesuca7","hesucal7","Calico",2018-04-28 15:42:00,"jvanas","radio",NA,"Utm
0641012
4002719
 4 m
Up high ash creek north face slope ","4/28/18 20:24","NDOWherps","4/28/18 20:24","NDOWherps",641012,4002719,-115.43249,36.15902,""
530,530,"d26e3714-d8bd-4ebf-aae8-aabe0a7d9052","hesuca7","hesucal7","Calico",2018-05-06 16:22:00,"jvanas","visual",NA,"Utm 
0641121
4002900
4 m
Out hunting
Back on N side Ash Canyon 
Very near c 13 at present","5/6/18 20:33","NDOWherps","5/6/18 20:33","NDOWherps",641121,4002900,-115.43108,36.16066,""
542,542,"322b5bdd-f38b-4056-81a2-3ed627c71011","hesuca7","hesucal7","Calico",2018-05-08 13:44:00,"jvanas","visual",NA,"Utm 
0641635 
4002848
4 m
Surface active open desert above C 13","5/8/18 17:47","NDOWherps","5/8/18 17:47","NDOWherps",641635,4002848,-115.43057,36.16016,""
544,544,"c56725c4-bcf9-4687-b2fc-3321fdbaee7a","hesuca7","hesucal7","Calico",2018-05-09 13:22:00,"jvanas","radio",140,"Utm 
0641141
4002819
4 m
Rodent hole dug out
","5/11/18 1:42","NDOWherps","5/11/18 1:42","NDOWherps",641141,4002819,-115.43094,36.15977,""
547,547,"497f506c-2894-4f31-983c-10c7f7c0ba25","hesuca7","hesucal7","Calico",2018-05-10 17:23:00,"jvanas","visual",143,"Utm 0641138
4002817
3 m
Same earthen shelter as yesterday  
","5/11/18 1:43","NDOWherps","5/11/18 1:43","NDOWherps",641138,4002817,-115.43088,36.15985,""
566,566,"4b31f1c5-dc12-422c-b42b-81a923b66503","hesuca7","hesucal7","Calico",2018-05-13 14:49:00,"jvanas","radio",160,"UTM 
0641190
4002693
 3 m
Under White shelter rock at Gopher Rock","5/14/18 2:16","NDOWherps","5/14/18 2:16","NDOWherps",641190,4002693,-115.43034,36.15866,""
